numberOfOccurrences;species;taxonKey;intraSpeciesPercentage
1660;Delesseria sanguinea;2661972;100.0
1660;Carex simpliciuscula;2710391;0.08
1657;Euphorbia hirsuta;3065548;0.17
1652;Hypericum veronense;8123778;0.25
1649;Cirsium alsophilum;3113506;0.2
1646;Zostera marina;2863967;53.83
1645;Gagea granatellii;5300007;2.84
1641;Cistus pouzolzii;3595616;1.3
1641;Thymus nervosus;8331919;0.79
1636;Isoetes longissima;3585120;7.02
1633;Acis nicaeensis;5326577;48.88
1631;Melilotus sulcatus;2971112;1.52
1630;Isoetes lacustris;2688270;7.0
1628;Tephroseris integrifolia;3130950;14.84
1627;Fumana laevis;7798288;2.58
1627;Morisia monanthos;5375716;100.0
1627;Imbribryum alpinum;8285962;74.6
1626;Symphyotrichum novae-angliae;3151618;5.43
1623;Molopospermum peloponnesiacum;6026454;68.11
1622;Elodea densa;5329263;6.96
1621;Arabis nova;5374841;1.78
1616;Ophrys speculum;2792665;0.39
1613;Carex microglochin;2729293;0.07
1610;Blackstonia acuminata;3841866;2.67
1609;Primula intricata;7290784;0.43
1609;Dryopteris oreades;5653297;0.39
1607;Ramonda myconi;5588846;100.0
1606;Glebionis coronaria;7627205;16.04
1606;Katapsuxis silaifolia;7318426;100.0
1603;Pogonatum urnigerum;2682986;34.91
1603;Tragopogon minor;5693189;1.17
1600;Potamogeton alpinus;5301175;1.37
1600;Allium moschatum;2856450;0.63
1600;Leymus arenarius;2706368;100.0
1599;Potentilla puberula;5365799;0.19
1599;Picnomon acarna;3146150;100.0
1598;Saxifraga aquatica;8249597;0.54
1595;Chaenorhinum rubrifolium;8056226;3.39
1595;Cephalaria alpina;2888799;8.3
1595;Anchusa officinalis;5341201;19.9
1588;Adenocarpus complicatus;2951647;67.4
1584;Lomelosia graminifolia;7301028;57.64
1582;Potentilla alchemilloides;8192228;0.19
1580;Solieria chordalis;5279603;100.0
1580;Marsupella emarginata;2689264;50.59
1580;Eriophorum gracile;2730137;1.99
1573;Pseudanomodon attenuatus;10742591;100.0
1573;Sporobolus versicolor;9637373;4.17
1571;Racomitrium lanuginosum;2673622;100.0
1571;Vicia lens;3973001;0.22
1570;Oenothera rosea;3188875;5.12
1570;Ranunculus parnassiifolius;7278125;0.13
1569;Ophrys bombyliflora;2793699;0.38
1569;Vicia melanops;7426824;0.22
1562;Polygonum bellardii;5334430;0.78
1562;Salix babylonica;5372639;0.22
1561;Tuberaria lignosa;3595654;5.96
1560;Tortula subulata;5280595;9.18
1559;Campanula cervicaria;5410857;0.35
1558;Tordylium apulum;3034902;7.84
1557;Lonicera pyrenaica;8883282;0.31
1556;Lewinskya speciosa;10242289;7.62
1556;Euphorbia portlandica;3065081;0.16
1555;Schoenoplectiella mucronata;5827389;52.84
1553;Dianthus gallicus;3812449;0.81
1552;Angelica razulii;8156916;0.89
1550;Agrostis castellana;2706501;0.34
1547;Vincetoxicum nigrum;5414551;2.24
1545;Vinealobryum insulanum;12260886;41.98
1545;Bupleurum semicompositum;3636403;1.29
1544;Didymodon rigidulus;5280233;28.51
1544;Tulipa clusiana;7923165;4.75
1543;Sedum litoreum;7334047;0.52
1542;Aulacomnium androgynum;2675978;19.71
1541;Mentha cervina;3902360;0.47
1539;Cistus populifolius;7331314;1.22
1539;Riccia sorocarpa;5286296;16.37
1537;Gemmabryum caespiticium;8099233;23.07
1535;Bucklandiella heterosticha;8097027;49.74
1533;Chenopodium opulifolium;3083903;1.0
1531;Ruta montana;8019513;9.08
1530;Encalypta vulgaris;5280176;22.09
1529;Saxifraga florulenta;3754238;0.52
1527;Amaranthus blitoides;5384395;1.38
1526;Tortella inclinata;2671373;13.49
1526;Hypopitys hypophegea;4165427;11.51
1526;Lotus parviflorus;5356892;0.26
1521;Cistus crispus;3595767;1.21
1521;Valeriana celtica;7298940;0.77
1521;Scorpidium cossonii;2681639;53.01
1520;Achillea ligustica;3120032;0.34
1520;Legousia falcata;3158802;4.51
1517;Thapsia nestleri;9482627;30.23
1517;Trifolium hirtum;5359445;0.11
1515;Husnotiella sinuosa;12254145;100.0
1514;Scutellaria hastifolia;5609333;1.85
1512;Ophrys incubacea;2793583;0.36
1511;Ruta graveolens;3190382;8.96
1509;Minuartia setacea;7267480;9.6
1509;Saxifraga longifolia;7742809;0.51
1509;Leucanthemum virgatum;5400980;0.77
1507;Lophozia ventricosa;2689212;56.13
1504;Asperula tinctoria;2916767;21.87
1503;Biscutella arvernensis;3041766;4.36
1500;Rosulabryum rubens;7386015;10.05
1498;Linaria thymifolia;7623537;0.66
1497;Rhynchostegium murale;2680190;13.53
1497;Asplenium marinum;8377244;0.36
1497;Mummenhoffia alliacea;10944522;100.0
1496;Saponaria lutea;3812402;1.19
1496;Opuntia ficus-indica;5384064;7.41
1495;Nogopterium gracile;7435779;100.0
1494;Porella arboris-vitae;5836724;13.65
1493;Symphytum uplandicum;2926068;1.18
1488;Cardamine parviflora;3046092;0.39
1488;Veronica anagalloides;7332572;0.14
1486;Linum austriacum;2873877;0.69
1486;Medicago hybrida;2965316;0.3
1483;Trifolium ornithopodioides;8347243;0.11
1482;Malva multiflora;3933415;0.69
1478;Sabulina mediterranea;5587011;3.64
1478;Lotus jordanii;9567879;0.25
1478;Ionopsidium glastifolium;7568336;100.0
1477;Phelipanche arenaria;3729246;15.09
1477;Crocosmia crocosmiiflora;2747939;100.0
1476;Limonium cordatum;4088539;2.57
1476;Carex maritima;2726673;0.07
1475;Ceratocephala falcata;7659521;100.0
1475;Phelipanche ramosa;3728894;15.07
1473;Narcissus bulbocodium;2858846;2.07
1473;Potentilla anglica;5365283;0.17
1472;Carex hartmaniorum;10816187;0.07
1471;Salvia aethiopis;2927030;0.83
1470;Melampyrum nemorosum;7331666;1.22
1468;Plagiothecium undulatum;5710930;14.39
1467;Androsace halleri;8421092;2.65
1466;Ranunculus muricatus;3033318;0.12
1465;Delphinium pubescens;8201351;6.0
1464;Myosotis pusilla;5660801;0.42
1463;Ligustrum lucidum;3172297;0.5
1463;Achillea pyrenaica;8011422;0.33
1462;Vicia dumetorum;2974946;0.2
1461;Schenkia spicata;5595243;100.0
1460;Asphodelus ayardii;2778349;3.23
1458;Neckera pumila;2678567;100.0
1457;Gamochaeta americana;3103158;42.27
1457;Sedum caeruleum;5690504;0.49
1456;Marcus-Kochia ramosissima;10962387;34.82
1456;Festuca glauca;2705031;0.24
1453;Cerinthe glabra;7294744;13.28
1451;Vicia narbonensis;2975132;0.2
1450;Cherleria capillacea;7917944;8.34
1448;Lupinus polyphyllus;2964355;14.5
1447;Oenothera parviflora;8994150;4.72
1447;Tolpis barbata;3097166;9.81
1446;Iris graminea;5298908;0.66
1443;Dianthus pungens;8330248;0.75
1442;Euphorbia chamaesyce;3067869;0.15
1441;Dryopteris remota;7904069;0.35
1440;Pulmonaria officinalis;5341204;1.61
1440;Cytisus ardoinoi;7525657;0.64
1435;Triglochin barrelieri;2865357;9.55
1435;Phalaris canariensis;5289744;1.05
1435;Vicia pubescens;2975128;0.2
1433;Pulsatilla montana;7277925;1.72
1430;Urtica pilulifera;5670646;0.3
1429;Calamagrostis villosa;4106690;1.65
1429;Veronica dillenii;3172053;0.14
1428;Stachys maritima;7649809;0.42
1427;Halopithys incurvus;5823913;100.0
1426;Grimmia laevigata;5281784;5.15
1425;Mnium stellare;5282686;13.17
1424;Medicago disciformis;2965208;0.29
1424;Potentilla valderia;5367882;0.17
1424;Anacyclus radiatus;3148560;32.24
1423;Delphinium fissum;7276601;5.83
1422;Delphinium halteratum;7498290;5.83
1421;Tripodion tetraphyllum;2947289;100.0
1419;Didymodon acutus;5711152;26.2
1417;Centaurium littorale;5414469;1.62
1415;Plasteurhynchium striatulum;8367130;80.95
1413;Erodium corsicum;3828040;1.08
1412;Zostera noltii;2863938;46.17
1412;Flexitrichum gracile;10480089;37.77
1411;Euphorbia biumbellata;3066171;0.14
1407;Styrax officinalis;5371666;100.0
1405;Moehringia pentandra;3810293;1.66
1404;Ranunculus revelierei;3926642;0.12
1403;Pylaisia polyantha;2682503;100.0
1403;Hippocrepis scorpioides;5353753;0.75
1402;Erigeron atticus;3146734;0.45
1399;Iberodes linifolia;9629001;50.29
1397;Nicotiana glauca;2928783;49.88
1394;Achillea ageratum;3120391;0.31
1393;Poa minor;4117359;0.15
1391;Juncus anceps;10027741;0.17
1389;Phelipanche mutelii;7818825;14.19
1389;Cyperus capitatus;2714938;1.99
1389;Colchicum filifolium;2739964;1.88
1388;Schoenoplectiella supina;2710765;47.16
1386;Onobrychis arenaria;2972841;2.48
1386;Hieracium pictum;3135843;0.57
1385;Juncus heterophyllus;2701714;0.17
1383;Thliphthisa purpurea;12171974;100.0
1383;Iberodes littoralis;9290052;49.71
1383;Allium coloratum;8060333;0.54
1380;Ophrys minuticauda;2792966;0.33
1377;Grimmia trichophylla;5281708;4.98
1377;Carex hispida;2723098;0.06
1375;Lolium boucheanum;4133390;0.25
1374;Pyrola media;2888292;5.3
1373;Draba siliquosa;3049820;1.25
1372;Clematis recta;3033543;0.48
1370;Sphagnum contortum;2669208;2.23
1370;Barbilophozia hatcheri;2689433;30.86
1370;Oreochloa elegans;8036787;48.43
1368;Narcissus papyraceus;2858739;1.92
1366;Mentha rotundifolia;8974899;0.42
1365;Odontites lanceolatus;8358298;1.65
1364;Polystichum bicknellii;4040495;1.45
1363;Potentilla nitida;5367673;0.16
1361;Schlagintweitia intybacea;3115482;91.59
1355;Thymus nitens;5606132;0.65
1355;Orthotrichum pallens;2672764;6.71
1354;Eruca vesicaria;5375920;100.0
1351;Viola thomasiana;5663507;0.23
1351;Astragalus stella;5345210;1.06
1350;Vicia benghalensis;2975384;0.19
1349;Thymelaea sanamunda;5523503;7.78
1349;Androsace pyrenaica;4005170;2.44
1348;Linum maritimum;4048390;0.63
1347;Porella cordaeana;5710210;12.31
1346;Heterocladium heteropterum;5283411;83.29
1346;Scapania aspera;7435100;13.38
1345;Glyceria striata;2705503;1.26
1341;Knautia basaltica;4103886;0.78
1341;Arabis serpyllifolia;5374894;1.48
1340;Erodium acaule;3828975;1.02
1338;Hypochaeris robertia;3093682;0.61
1334;Campanula stenocodon;5411164;0.3
1333;Centaurea valesiaca;6076355;0.29
1333;Hymenoloma crispulum;7807598;93.02
1328;Bazzania trilobata;2689063;67.27
1327;Polytrichastrum alpinum;7967672;73.8
1327;Fallopia baldschuanica;5334351;1.55
1326;Niphotrichum elongatum;7571000;37.79
1326;Silene nicaeensis;7533371;0.17
1322;Bromus sitchensis;2703698;0.16
1322;Grimmia ovalis;5281803;4.78
1321;Coleostephus myconis;3092083;100.0
1319;Chaetonychia cymosa;9225323;100.0
1316;Palustriella falcata;8105978;26.26
1309;Hippocrepis biflora;5353737;0.7
1308;Gentianella amarella;8196434;3.64
1308;Hypecoum procumbens;8281444;51.97
1308;Tomentypnum nitens;2680053;100.0
1307;Corema album;8053367;100.0
1306;Biscutella brevicaulis;3041787;3.79
1306;Chamaecyparis lawsoniana;2683866;100.0
1306;Brachythecium glareosum;2680019;4.72
1304;Saxifraga retusa;7702195;0.44
1303;Hieracium umbrosum;3135262;0.54
1300;Ophrys tenthredinifera;2793126;0.31
1300;Primula matthioli;9764749;0.35
1299;Heliotropium supinum;2925777;6.9
1299;Festuca scabriculmis;4114298;0.21
1298;Festuca alpina;4129282;0.21
1296;Vicia serratifolia;2975135;0.18
1295;Rubus gremlii;7815706;0.25
1293;Stachys heraclea;7664547;0.38
1289;Scleropodium touretii;2679838;83.21
1289;Plagiomnium elatum;8024080;4.68
1288;Microlejeunea ulicina;2688792;100.0
1287;Salsola squarrosa;3756197;19.48
1287;Pseudopodospermum strictum;10711729;21.48
1286;Paeonia mascula;7155281;15.25
1286;Dipsacus laciniatus;2888814;0.95
1285;Galium divaricatum;2908428;0.11
1285;Polygala rupestris;4049728;0.76
1284;Jungermannia atrovirens;2689392;63.22
1283;Sphagnum girgensohnii;2669241;2.09
1282;Festuca juncifolia;4122081;0.21
1282;Plantago albicans;8424834;0.13
1280;Epilobium brachycarpum;3189073;0.27
1277;Rhagadiolus edulis;5399549;63.12
1277;Corallina caespitosa;6453218;66.82
1275;Rhinanthus glacialis;7333429;1.38
1275;Papaver lecoqii;3600984;0.53
1273;Barbilophozia barbata;2689432;28.68
1273;Hedera colchica;3036033;0.25
1273;Adonis pyrenaica;8158904;4.43
1271;Vicia incana;2975294;0.18
1270;Artemisia dracunculus;3121581;0.42
1270;Aconitum burnatii;8189059;2.23
1268;Sporobolus pumilus;9478836;3.36
1266;Pimpinella tragium;6026779;0.99
1265;Grimmia hartmanii;5281758;4.57
1265;Mantisalca salmantica;3141571;100.0
1262;Senecio provincialis;3107166;0.34
1261;Scorpiurium circinatum;2679719;88.0
1261;Oxybasis urbica;7418706;4.97
1258;Taeniatherum caput-medusae;2705666;100.0
1258;Reseda glauca;7532195;0.89
1256;Parapholis cylindrica;12246414;17.23
1256;Sciuro-hypnum plumosum;8399643;28.33
1253;Helianthemum violaceum;8148601;0.48
1252;Artemisia crithmifolia;3120692;0.41
1252;Oreochloa seslerioides;4142932;44.26
1251;Atriplex hortensis;3083761;1.39
1251;Lotus ornithopodioides;5357035;0.21
1250;Lemna turionifera;2867631;1.36
1248;Rubus bifrons;2995779;0.24
1248;Plumbago europaea;4090052;81.04
1247;Leucanthemum atratum;8422562;0.64
1245;Oxytropis fetida;5361385;5.38
1244;Aeluropus littoralis;4136390;100.0
1243;Vitis riparia;5372385;4.01
1242;Gymnostomum calcareum;4921807;47.79
1241;Scrophularia oblongifolia;7670408;0.63
1241;Valerianella echinata;4095048;1.05
1241;Spirobassia hirsuta;8243150;100.0
1240;Rubus nemophilus;2994588;0.24
1240;Armeria ruscinonensis;5668188;2.48
1239;Scrophularia peregrina;3170862;0.63
1239;Iberis umbellata;5377303;3.89
1238;Oxytropis amethystea;5361178;5.35
1237;Hygrohypnum luridum;2681583;100.0
1237;Hyacinthoides hispanica;5304257;1.78
1235;Tortula truncata;5280675;7.27
1235;Schistidium apocarpum;5281668;18.86
1231;Amaranthus caudatus;6109611;1.11
1230;Paraleucobryum longifolium;2674871;78.05
1230;Campylium protensum;4279909;18.69
1229;Potentilla frigida;5368457;0.15
1228;Myriolimon diffusum;4090566;35.95
1228;Cynodontium bruntonii;2675179;67.44
1228;Salix helvetica;5582710;0.17
1227;Dicranum bonjeanii;2675482;2.58
1227;Mercurialis tomentosa;3062973;0.56
1227;Vicia disperma;2974981;0.17
1226;Opuntia humifusa;5384047;6.07
1225;Weissia brachycarpa;5280861;22.83
1224;Dialytrichia mucronata;2671143;70.75
1222;Blindia acuta;2670176;100.0
1217;Jasonia tuberosa;3150720;100.0
1217;Scrophularia vernalis;7810918;0.62
1216;Solenostoma gracillimum;5710187;38.57
1214;Cerastium soleirolii;3807960;0.26
1214;Syntrichia norvegica;2671266;6.0
1213;Lophocolea minor;4276910;9.17
1213;Brimeura fastigiata;2767934;61.36
1213;Thinopyrum junceiforme;7859914;6.47
1211;Cheirolophus intybaceus;3097063;100.0
1210;Stratiotes aloides;5329192;100.0
1209;Heteropogon contortus;5290179;100.0
1209;Lilium candidum;2753090;1.75
1205;Hypnum andoi;2681985;2.62
1204;Fissidens gracilifolius;5283016;4.17
1203;Rosa marginata;3004214;0.26
1203;Pilosella caespitosa;3123663;0.43
1201;Lolium interruptum;10953406;0.21
1200;Kickxia cirrhosa;7983380;1.75
1198;Galium verrucosum;2914754;0.1
1197;Ranunculus gouani;3927868;0.1
1197;Cuscuta australis;7154776;4.6
1196;Parapholis strigosa;5290068;16.41
1195;Festuca pulchella;4116614;0.2
1194;Viola pumila;7499288;0.21
1191;Cerinthe tenuiflora;4061066;10.88
1190;Codriophorus acicularis;8340142;64.74
1188;Pilosella breviscapa;8397911;0.42
1187;Pleuridium acuminatum;2675875;54.28
1185;Allium moly;2855825;0.46
1185;Atractylis humilis;5398274;76.75
1184;Cardamine bulbifera;3045931;0.31
1184;Parthenocissus tricuspidata;3039209;3.89
1184;Dichodontium pellucidum;2675400;100.0
1181;Cotoneaster salicifolius;3026074;2.7
1179;Plantago monosperma;4155837;0.12
1179;Galium corsicum;2914012;0.1
1178;Jacobaea alpina;5388598;0.38
1177;Acanthoprasium frutescens;3895799;100.0
1175;Dethawia splendens;6027158;100.0
1175;Crepis suffreniana;8312801;0.31
1173;Juncus subulatus;2701970;0.14
1172;Koenigia polystachya;8848208;35.73
1171;Silene vallesia;5587608;0.15
1171;Asperifolia arguta;12232458;100.0
1170;Viola pinnata;5665462;0.2
1168;Valeriana pratensis;8038701;0.59
1167;Agrostis tenerrima;4115410;0.26
1167;Leuzea rhapontica;6064904;5.25
1164;Taraxacum palustre;5394278;1.1
1163;Stipellula capensis;8315646;100.0
1162;Aurinia saxatilis;5377778;100.0
1161;Juglans nigra;3054357;1.2
1160;Lithophyllum incrustans;5276282;23.18
1159;Scorzonera purpurea;3125775;1.98
1157;Medicago ciliaris;7373959;0.23
1156;Scorpidium scorpioides;2681641;40.29
1156;Hymenophyllum tunbrigense;2651315;91.38
1156;Hormathophylla ligustica;10967391;24.1
1155;Senecio hercynicus;3107060;0.31
1154;Pedobesia simplex;2643203;100.0
1153;Nasturtium microphyllum;9184619;3.21
1153;Bifora testiculata;7412216;15.07
1153;Matthiola fruticulosa;5377429;8.85
1153;Scorzonera parviflora;3111097;1.97
1152;Hypericum perfoliatum;7678225;0.18
1152;Oxytropis halleri;5361240;4.98
1152;Barbilophozia lycopodioides;2689429;25.95
1151;Micranthes clusii;7580528;7.43
1147;Plagiothecium curvifolium;5283485;11.25
1146;Galium saxosum;2914270;0.1
1143;Silene sedoides;8312906;0.15
1143;Bidens connata;5392083;1.16
1142;Gagea luberonensis;5299908;1.97
1142;Cutandia maritima;7541951;100.0
1141;Carex magellanica;2726416;0.05
1141;Diphyscium foliosum;2682864;100.0
1140;Saussurea depressa;5404636;32.74
1139;Taraxacum pyrenaicum;5695863;1.08
1137;Geum pyrenaicum;5369919;0.32
1137;Aconitum variegatum;8090449;1.99
1137;Potentilla brauneana;5366782;0.13
1136;Dicranodontium denudatum;2675239;100.0
1132;Heracleum pumilum;7381350;0.38
1131;Clematis viticella;3033518;0.4
1130;Oxytropis montana;5361143;4.89
1129;Jurinea humilis;5392456;100.0
1127;Biscutella rotgesii;3041868;3.27
1127;Roemeria hybrida;7315023;5.55
1127;Quercus kerneri;2878507;0.13
1124;Codium fragile;5272096;9.82
1124;Plagiopus oederianus;5282434;100.0
1124;Sisymbrium altissimum;3046736;1.46
1124;Vicia lentoides;7769230;0.16
1123;Fissidens fontanus;5283137;3.89
1122;Fuscocephaloziopsis connivens;9443095;46.08
1120;Linaria angustissima;5415014;0.49
1120;Silene cordifolia;5584354;0.15
1120;Scorzoneroides carpetana;10745516;1.38
1118;Arabis verna;5374962;1.23
1117;Cinclidotus riparius;2672814;23.78
1117;Tofieldia pusilla;2864429;7.53
1115;Atriplex littoralis;3083696;1.24
1115;Nicotiana tabacum;2928774;39.81
1114;Erythranthe guttata;7346102;100.0
1113;Trilophozia quinquedentata;7506619;100.0
1113;Allium longispathum;8366402;0.44
1113;Petrorhagia dubia;3085625;1.94
1113;Marchantia quadrata;7603659;22.22
1110;Taxiphyllum wissgrillii;2682658;100.0
1108;Mesoptychia bantriensis;9011379;34.46
1108;Carex oedipostyla;2727649;0.05
1103;Dasypyrum villosum;2704854;100.0
1102;Hygroamblystegium fluviatile;2681736;45.2
1100;Erodium aethiopicum;6366105;0.84
1099;Lathyrus inconspicuus;5356614;0.24
1099;Rorippa austriaca;3053406;1.33
1098;Valerianella microcarpa;7298981;0.93
1098;Mentha villosa;8004895;0.34
1096;Scleranthus uncinatus;3594016;2.68
1093;Erodium chium;3828217;0.84
1092;Amaranthus powellii;5384359;0.98
1092;Lophiolepis morisiana;12265518;2.52
1091;Rubus plicatus;2990412;0.21
1091;Facchinia villarsii;8021414;29.88
1090;Andreaea rupestris;5283962;48.88
1090;Pohlia melanodon;5282602;13.33
1088;Erysimum seipkae;3048186;3.36
1088;Dianthus subacaulis;8012084;0.56
1084;Corydalis intermedia;5531229;4.75
1083;Echium creticum;2925893;0.75
1083;Carex grioletii;2726077;0.05
1082;Orthodicranum tauricum;7600680;19.1
1081;Platycapnos spicata;7390166;100.0
1081;Rudbeckia fulgida;7344766;55.21
1079;Cotoneaster intermedius;3025603;2.47
1078;Teucrium rouyanum;7812496;0.2
1077;Fumaria wirtgenii;9523596;1.14
1076;Carduus acanthoides;3114643;0.72
1076;Frankenia hirsuta;8139414;26.05
1074;Visnaga daucoides;5371753;100.0
1074;Crepis lampsanoides;5403420;0.29
1072;Potentilla inclinata;5365888;0.13
1070;Aloina aloides;2671385;52.74
1067;Sphagnum quinquefarium;2669139;1.74
1067;Hieracium bifidum;7991670;0.44
1066;Tortula lindbergii;5280661;6.28
1066;Linaria arenaria;8105164;0.47
1062;Syntrichia latifolia;8030480;5.25
1060;Philonotis seriata;2676224;17.24
1060;Thalictrum macrocarpum;3927894;1.5
1057;Pedicularis mixta;3741015;1.16
1056;Anthyllis cytisoides;5352466;0.7
1055;Campanula portenschlagiana;5410411;0.23
1053;Mercurialis huetii;3062957;0.48
1051;Crocus corsicus;2747880;4.02
1050;Potentilla alchimilloides;5365422;0.12
1049;Nitella translucens;2637904;17.08
1048;Lonicera caprifolium;5334227;0.21
1048;Taraxacum rubicundum;6064015;0.99
1047;Orobanche lutea;7943745;1.01
1046;Pseudoleskeella nervosa;4279191;52.17
1045;Thymus herba-barona;7307315;0.5
1044;Galium verticillatum;2914589;0.09
1043;Euphrasia pectinata;3171969;1.62
1041;Ribes aureum;2986111;0.57
1040;Fissidens viridulus;7825775;3.6
1040;Rubus questieri;2991194;0.2
1034;Riccardia palmata;4277590;34.61
1033;Gasparinia peucedanoides;6307451;100.0
1033;Ambrosina bassii;2870348;100.0
1033;Glycine max;5359660;100.0
1032;Sphagnum tenellum;7507197;1.68
1032;Setaria parviflora;5289679;0.88
1028;Poa humilis;4120665;0.11
1024;Thuidium assimile;2679480;2.53
1024;Hieracium schmidtii;3135601;0.42
1023;Calliergon giganteum;2681676;56.24
1022;Lythrum borysthenicum;7892122;0.44
1019;Festuca inops;4122372;0.17
1019;Carex hordeistichos;2729668;0.05
1017;Asparagus maritimus;2768396;1.25
1015;Chrysopogon gryllus;5674318;100.0
1014;Festuca glacialis;4123815;0.17
1013;Viscum laxum;4068991;1.18
1012;Prangos trifida;6026408;100.0
1012;Rumex roseus;8266545;0.11
1011;Ptilium crista-castrensis;5283780;100.0
1009;Phleum paniculatum;2706002;0.58
1009;Luzula pedemontana;2700791;0.25
1007;Brachythecium salebrosum;8418702;3.64
1007;Doronicum clusii;3143013;2.97
1006;Solenopsis laurentia;5413111;78.84
1006;Lathyrus ochrus;5356441;0.22
1006;Armeria belgenciensis;7510192;2.01
1005;Lotus edulis;5356908;0.17
1004;Galium estebanii;5829557;0.09
1004;Philonotis calcarea;2676091;16.33
1004;Ventenata dubia;2703592;100.0
1001;Orthothecium intricatum;5283629;59.98
1001;Urtica membranacea;7685819;0.21
1000;Pleuridium subulatum;2675862;45.72
1000;Grimmia montana;5281783;3.61
1000;Pohlia wahlenbergii;5282635;12.23
998;Corispermum gallicum;3759821;78.46
997;Artemisia maritima;3121650;0.33
995;Rubus rhombifolius;7506893;0.19
995;Saxifraga aretioides;3753538;0.34
992;Ruta chalepensis;3190381;5.88
991;Orthotrichum rogeri;2672681;4.91
991;Androsace cylindrica;7290761;1.79
988;Cotula coronopifolia;3112110;85.39
987;Castroviejoa frigida;3118106;100.0
986;Schoenoplectus litoralis;2711288;2.76
986;Euphorbia sulcata;3065910;0.1
984;Frullania fragilifolia;5836834;4.39
984;Veronica nummularia;3728742;0.09
982;Artemisia chamaemelifolia;3121409;0.32
981;Sulla spinosissima;5612955;85.68
980;Carlina lanata;3105444;0.68
980;Ranunculus breyninus;3922862;0.08
979;Epilobium nutans;7737682;0.2
978;Larix kaempferi;2686157;1.88
978;Metzgeria pubescens;5710240;6.84
978;Orobanche elatior;7718653;0.94
976;Campsis radicans;3172549;100.0
972;Berberis aetnensis;3981087;2.4
972;Grimmia decipiens;5281760;3.51
970;Calypogeia muelleriana;2689329;15.44
970;Filago tyrrhenica;3115912;1.95
969;Oxalis tetraphylla;7560711;0.62
969;Amelichloa ambigua;4106357;100.0
969;Cynosurus effusus;4133867;0.96
969;Chaiturus marrubiastrum;2927071;100.0
966;Leucanthemum maximum;5401002;0.49
965;Dianthus nudiflorus;3810175;0.5
965;Milium vernale;2706195;1.52
963;Cymodocea nodosa;5328492;100.0
962;Hormathophylla kuepferiana;10945567;20.06
961;Wisteria sinensis;8149049;100.0
960;Delphinium elatum;3033757;3.93
959;Bartramia halleriana;5282460;19.36
959;Gymnostomum aeruginosum;4921819;36.9
959;Pseudoleskeella catenulata;2681352;47.83
958;Galeopsis pyrenaica;5608465;0.62
958;Centaurea pannonica;3128363;0.21
956;Halimione pedunculata;3756036;9.88
955;Crepis micrantha;5403290;0.26
955;Pteris cretica;5275404;74.15
954;Trifolium ligusticum;5359328;0.07
954;Dianthus furcatus;8001283;0.49
953;Dracunculus vulgaris;5330001;100.0
952;Frankenia pulverulenta;2874692;23.05
952;Buglossoides incrassata;4062065;4.18
952;Rumex rupestris;4036610;0.1
949;Nigella hispanica;5371701;4.73
948;Senecio transiens;3107107;0.25
946;Asparagus prostratus;2768911;1.16
943;Gladiolus communis;2750096;2.98
943;Plocamium cartilagineum;5278595;100.0
943;Polygonum romanum;7291652;0.47
942;Bupleurum gerardi;5831906;0.79
942;Rubus sulcatus;7565460;0.18
941;Tulipa gesneriana;5299675;2.89
941;Artemisia arborescens;3120677;0.31
941;Crepis praemorsa;5403302;0.25
941;Trichocolea tomentella;2689242;100.0
940;Knautia foreziensis;4103358;0.54
940;Festuca prudhommei;4116929;0.15
939;Allium oporinanthum;2856676;0.37
939;Parietaria lusitanica;7671972;2.03
939;Leuzea centauroides;3142232;4.22
937;Salix rubra;5372926;0.13
936;Nardia scalaris;4277463;58.9
936;Iberis ciliata;5377207;2.94
935;Valeriana apula;8032355;0.47
935;Sphenolobus minutus;2689422;100.0
934;Carex colchica;2724439;0.04
933;Iris spuria;5298946;0.42
933;Geheebia tophacea;10994463;20.35
933;Petasites japonicus;3088310;2.38
933;Satureja hortensis;2926885;4.29
933;Lathyrus saxatilis;5356430;0.21
933;Glandora gastonii;8144477;22.94
930;Centaurea jordaniana;3128039;0.2
929;Poa hybrida;4120634;0.1
928;Hookeria lucens;5280020;100.0
928;Scolymus maculatus;5403743;13.75
927;Equisetum litorale;2687928;0.3
926;Archidium alternifolium;8182643;100.0
926;Iberis bernardiana;5377192;2.91
926;Ferula glauca;3638472;19.56
926;Oenothera fallax;7915783;3.02
924;Festuca dimorpha;4125372;0.15
920;Allium commutatum;2855802;0.36
920;Neoorthocaulis attenuatus;7580531;71.37
919;Dichanthelium acuminatum;2702678;83.02
919;Capparis spinosa;6370689;100.0
919;Sclerochloa dura;2704841;100.0
919;Chrozophora tinctoria;3054465;100.0
919;Gagea minima;5300136;1.59
918;Plagiothecium succulentum;5283458;9.0
917;Cochlearia anglica;5373288;13.31
917;Riccia glauca;5286298;9.75
917;Galium cometorhizon;7647309;0.08
917;Tanacetum balsamita;3118254;0.85
914;Arceuthobium oxycedri;2889841;69.93
914;Tortella nitida;2671364;8.08
912;Dracocephalum austriacum;3903269;33.6
912;Callianthemum coriandrifolium;3927319;100.0
910;Epipactis phyllanthes;5318980;0.42
910;Potentilla alba;5367987;0.11
909;Rubus polonicus;10705171;0.18
909;Carex pyrenaica;2723403;0.04
909;Androsace laggeri;4006127;1.64
909;Epipactis albensis;5318941;0.42
909;Scabiosa cinerea;7301138;0.8
