numberOfOccurrences;species;taxonKey;intraSpeciesPercentage
78644;Valeriana officinalis;2888763;39.8
78049;Ulex europaeus;2951984;61.5
77790;Reseda lutea;3040252;55.06
77184;Linaria repens;5415019;33.92
77061;Malva sylvestris;3152374;36.07
76967;Chamaenerion angustifolium;6428353;82.92
76613;Viburnum tinus;2888585;19.72
76540;Sambucus ebulus;2888722;20.78
75472;Viola hirta;5664290;13.03
74997;Mentha suaveolens;2927190;22.9
74990;Anacamptis morio;2808565;24.71
74540;Carex panicea;2724609;3.44
74260;Genista pilosa;5347571;25.44
74233;Arabidopsis thaliana;3052436;89.12
73944;Hordeum murinum;7886346;68.88
73522;Platanthera bifolia;9213153;54.43
73106;Sedum acre;5362007;24.64
72986;Torilis japonica;3034820;54.99
72958;Epilobium parviflorum;3189157;15.26
72932;Fallopia convolvulus;6391461;85.37
72870;Crataegus laevigata;8252683;13.24
72637;Thymus vulgaris;5341442;34.86
72523;Bryonia dioica;6422396;71.01
72126;Daphne laureola;5420853;53.79
72111;Aphyllanthes monspeliensis;2770868;100.0
71852;Epilobium montanum;3664083;15.03
71814;Matricaria chamomilla;8370958;51.24
71805;Tanacetum vulgare;3118274;66.38
71540;Erica cinerea;5333411;34.5
71254;Geranium pyrenaicum;2890122;6.95
71120;Populus nigra;3040227;23.96
70870;Hieracium murorum;8605056;29.35
70864;Vinca minor;3169707;70.43
70768;Carex remota;2727294;3.26
70547;Carlina vulgaris;3105380;49.02
70016;Ribes rubrum;2986097;38.55
70009;Mycelis muralis;3139040;100.0
69902;Moehringia trinervia;3085370;82.82
69871;Juncus articulatus;2701261;8.37
69749;Juncus bufonius;6413649;8.36
69640;Cynanchica pyrenaica;12223934;96.3
69623;Alopecurus pratensis;5290081;39.24
69604;Juncus conglomeratus;2701418;8.34
68978;Asplenium ruta-muraria;2650625;16.37
68871;Neottia nidus-avis;2816176;30.13
68762;Acer platanoides;3189846;9.83
68438;Rubus ulmifolius;2996929;13.18
68364;Myosotis scorpioides;5341184;19.56
68329;Matricaria discoidea;3103791;48.76
